classe_real,arquivo,predito,score_vencedor,93000005_Meio_das_Asas_Congelado,93000006_Coxinhas_das_Asas_Congelado,93000025_File_de_Peito_Congelado,93000064_Coracao,93000068_Moela_Congelada,93000096_File_de_Coxas_e_Sobre_Coxas_com_Pele_Congelado,93000106_Coxas_e_Sobrecoxas_Congelado
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_19_52.956796.jpg,93000005_Meio_das_Asas_Congelado,0.5196,0.5196,0.0559,0.0357,0.0,0.0779,0.0162,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_20_15.752372.jpg,93000005_Meio_das_Asas_Congelado,0.1127,0.1127,0.0248,0.0446,0.0,0.0779,0.0097,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_20_40.447605.jpg,93000005_Meio_das_Asas_Congelado,0.2059,0.2059,0.0311,0.0268,0.0494,0.0909,0.0097,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_21_50.931358.jpg,93000005_Meio_das_Asas_Congelado,0.1176,0.1176,0.0311,0.0357,0.037,0.1039,0.0162,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_22_32.423028.jpg,93000068_Moela_Congelada,0.1169,0.1127,0.0311,0.0,0.0,0.1169,0.0162,0.0
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_23_17.948696.jpg,93000005_Meio_das_Asas_Congelado,0.1471,0.1471,0.0248,0.0446,0.0,0.0779,0.0097,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_23_54.673014.jpg,93000005_Meio_das_Asas_Congelado,0.1029,0.1029,0.0497,0.0268,0.037,0.0519,0.0097,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_24_44.863561.jpg,93000005_Meio_das_Asas_Congelado,0.1765,0.1765,0.0559,0.0625,0.0494,0.1169,0.0097,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_25_47.550703.jpg,93000005_Meio_das_Asas_Congelado,0.152,0.152,0.0807,0.0357,0.037,0.1039,0.013,0.0288
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_27_51.892351.jpg,93000005_Meio_das_Asas_Congelado,0.1127,0.1127,0.0621,0.0446,0.0,0.0779,0.0162,0.0192
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_28_11.955738.jpg,93000005_Meio_das_Asas_Congelado,0.1373,0.1373,0.0248,0.0446,0.037,0.1039,0.013,0.0096
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_30_31.361726.jpg,93000005_Meio_das_Asas_Congelado,0.1667,0.1667,0.0683,0.0268,0.0247,0.1299,0.0097,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_30_33.293379.jpg,93000005_Meio_das_Asas_Congelado,0.1569,0.1569,0.0745,0.0357,0.0,0.1169,0.013,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_30_40.758155.jpg,93000005_Meio_das_Asas_Congelado,0.201,0.201,0.0311,0.0446,0.0,0.0779,0.0162,0.024
93000005_Meio_das_Asas_Congelado,TesteTempoPosicao2025-02-05 14_30_48.623213.jpg,93000068_Moela_Congelada,0.1429,0.1422,0.0994,0.0446,0.0617,0.1429,0.013,0.0288
